"external_gene_name","ensembl_gene_id"
"FAM220A","ENSG00000178397"
"AL159163.1","ENSG00000249141"
"RNU6-33P","ENSG00000207524"
"HAPLN4","ENSG00000187664"
"ARL2-SNX15","ENSG00000273003"
"AC002456.1","ENSG00000223969"
"DIPK2A","ENSG00000181744"
"PROSER2","ENSG00000148426"
"SLC7A8","ENSG00000092068"
"RYR1","ENSG00000196218"
"ITGA11","ENSG00000137809"
"DNM1P46","ENSG00000182397"
"CEBPD","ENSG00000221869"
"SLC22A4","ENSG00000197208"
"P2RY1","ENSG00000169860"
"SPECC1L-ADORA2A","ENSG00000258555"
"NR4A3","ENSG00000119508"
"PAPPA","ENSG00000182752"
"SPOCK1","ENSG00000152377"
"CD9","ENSG00000010278"
"EFNA2","ENSG00000099617"
"FRMD6","ENSG00000139926"
"THSD7A","ENSG00000005108"
"SLC7A6","ENSG00000103064"
"TMOD1","ENSG00000136842"
"SPG7","ENSG00000197912"
"CFAP251","ENSG00000158023"
"FLVCR1","ENSG00000162769"
"HSD17B12","ENSG00000149084"
"CYP3A5","ENSG00000106258"
"PSG2","ENSG00000242221"
"FGF23","ENSG00000118972"
"SLITRK4","ENSG00000179542"
"ITGB5","ENSG00000082781"
"SLITRK5","ENSG00000165300"
"RPSAP48","ENSG00000240590"
"FRAS1","ENSG00000138759"
"TNFSF13B","ENSG00000102524"
"TDRP","ENSG00000180190"
"MAP3K4","ENSG00000085511"
"PCDHB14","ENSG00000120327"
"IL20RA","ENSG00000016402"
"RGS10","ENSG00000148908"
"SYT3","ENSG00000213023"
"COL18A1","ENSG00000182871"
"WASH7P","ENSG00000227232"
"HSPA2","ENSG00000126803"
"PTPRK","ENSG00000152894"
"COL5A1","ENSG00000130635"
"CAVIN1","ENSG00000177469"
"TRIM5","ENSG00000132256"
"PIEZO1","ENSG00000103335"
"DEPDC4","ENSG00000166153"
"DENND1C","ENSG00000205744"
"PALM2AKAP2","ENSG00000157654"
"IGF2BP1","ENSG00000159217"
"TOX2","ENSG00000124191"
"PKD1P5","ENSG00000254681"
"DUSP9","ENSG00000130829"
"AC233968.1","ENSG00000274615"
"C1QTNF3-AMACR","ENSG00000273294"
"RB1-DT","ENSG00000231473"
"SNORC","ENSG00000182600"
"CD38","ENSG00000004468"
"RPS26P19","ENSG00000244563"
"AC048338.1","ENSG00000256861"
"AL589666.1","ENSG00000271793"
"DUOX1","ENSG00000137857"
"CHST5","ENSG00000135702"
"AC092447.7","ENSG00000237268"
"AC018809.3","ENSG00000288550"
"AL357673.1","ENSG00000256407"
"AC005670.2","ENSG00000262633"
"BCRP3","ENSG00000215481"
"ISG15","ENSG00000187608"
"IL4R","ENSG00000077238"
"AC108488.1","ENSG00000242282"
"AC023490.4","ENSG00000278044"
"AC073111.3","ENSG00000284048"
"SHANK1","ENSG00000161681"
"LINC02820","ENSG00000258815"
"FCF1P2","ENSG00000228638"
"DNAAF4-CCPG1","ENSG00000261771"
"AL353691.2","ENSG00000237875"
"AC006064.6","ENSG00000285238"
"INPP5F","ENSG00000198825"
"AC011330.1","ENSG00000249839"
"LINC02495","ENSG00000249896"
"ZFP3","ENSG00000180787"
"SIX1","ENSG00000126778"
"LRRC4B","ENSG00000131409"
"OSTF1","ENSG00000134996"
"GUCA1A","ENSG00000048545"
"MTMR11","ENSG00000014914"
"DLG2","ENSG00000150672"
"NUDT11","ENSG00000196368"
"ESRP1","ENSG00000104413"
"ZFR2","ENSG00000105278"
"BASP1","ENSG00000176788"
"ZNF497","ENSG00000174586"
"PHACTR1","ENSG00000112137"
"ZC3H10","ENSG00000135482"
"FOXE1","ENSG00000178919"
"NMRK1","ENSG00000106733"
"GABRB3","ENSG00000166206"
"VAT1L","ENSG00000171724"
"SLC6A16","ENSG00000063127"
"ZNF732","ENSG00000186777"
"TXNDC5","ENSG00000239264"
"MAP7D2","ENSG00000184368"
"ISY1-RAB43","ENSG00000261796"
"NKAPP1","ENSG00000233382"
"LINC01833","ENSG00000259439"
"DSC3","ENSG00000134762"
"CYTOR","ENSG00000222041"
"HYPK","ENSG00000242028"
"NUDT10","ENSG00000122824"
"FRMD3","ENSG00000172159"
"AC020928.1","ENSG00000267260"
"B3GAT1","ENSG00000109956"
"NETO2","ENSG00000171208"
"TNNT1","ENSG00000105048"
"NXT2","ENSG00000101888"
"CCDC125","ENSG00000183323"
"ZNF229","ENSG00000278318"
"ZNF423","ENSG00000102935"
"NEK6","ENSG00000119408"
"TMEM178B","ENSG00000261115"
"MT-TM","ENSG00000210112"
"CNKSR3","ENSG00000153721"
"BCAN","ENSG00000132692"
"AL022311.1","ENSG00000279738"
"SH2D3C","ENSG00000095370"
"PCDHA4","ENSG00000204967"
"PLPP3","ENSG00000162407"
"PCDHB2","ENSG00000112852"
"SIX3","ENSG00000138083"
"AC087190.3","ENSG00000263244"
"RIPPLY2","ENSG00000203877"
"IL11RA","ENSG00000137070"
"HEBP2","ENSG00000051620"
"AGTR1","ENSG00000144891"
"FNBP1","ENSG00000187239"
"IQCE","ENSG00000106012"
"SVIL","ENSG00000197321"
"WDR6","ENSG00000178252"
"RACK1","ENSG00000204628"
"AC002351.1","ENSG00000258240"
"AL139011.2","ENSG00000258465"
"PLXDC1","ENSG00000161381"
"VWA7","ENSG00000204396"
"CACNA1D","ENSG00000157388"
"LINC01363","ENSG00000231605"
"CHRDL1","ENSG00000101938"
"HRH3","ENSG00000101180"
"GUSBP5","ENSG00000236296"
"DIO3","ENSG00000197406"
"AL133461.1","ENSG00000282413"
"IGSF10","ENSG00000152580"
"CHODL","ENSG00000154645"
"PLPP2","ENSG00000141934"
"CLDN23","ENSG00000253958"
"KCNQ3","ENSG00000184156"
"ACE2","ENSG00000130234"
"CD147","ENSG00000172270"
"PPIA","ENSG00000196262"
"PPIB","ENSG00000166794"
